,Date,Sender,Message,positive,negative,result
0,8/23/21 7:54,CLIENT,"Здравствуйте, в каком отделении банка я могу взять распечатку движения средств по счету??????",0.46819237514389794,0.5318076248561021,neg
1,8/23/21 7:54,BOT,"Здравствуйте! <br><br>Чтобы я мог точно определить, что Вам нужно, опишите Ваш вопрос в двух-трех словах или выберите тему из списка:<button>Платежи и переводы</button><button>Все о кредитах</button><button>Все о картах и вкладах</button><button>Досрочное погашение</button><button>Почта Банк Онлайн</button><button>Справки, выписки, документы по договору</button><button>СМС-информирование</button><button>У меня другой вопрос</button>",0.0,0.0,0
2,8/23/21 7:55,BOT,Я Вас понял. Перевожу на оператора!,0.0,0.0,0
3,8/23/21 7:55,CLIENT,Я написал русским языком,0.26991684403014143,0.7300831559698586,neg
4,8/23/21 7:55,EXTERNAL,"В настоящий момент нам нужно больше времени для обработки Вашего запроса. Пожалуйста, ожидайте, специалист ответит Вам в ближайшее время.",0.0,0.0,0
5,8/23/21 7:55,SYSTEM,Оператор присоединился к беседе.,0.0,0.0,0
6,8/23/21 7:57,AGENT,"Здравствуйте, Павел Валентинович! Мы можем в режиме Чата отправить Вам выписку по счету на адрес электронной почты, который указывали в анкете Банка.",0.0,0.0,0
7,8/23/21 7:59,CLIENT,Не нужно Я хочу лично в бумажном виде,0.2945523155777101,0.7054476844222899,neg
8,8/23/21 8:00,SYSTEM,Оператор присоединился к беседе.,0.0,0.0,0
9,8/23/21 8:01,AGENT,"В таком случае, Вы можете обратиться в любое удобное для Вас отделение Банка и получить там счет-выписку за любой период.",0.0,0.0,0
10,8/23/21 8:01,AGENT,Ознакомиться с адресами отделений и банкоматов Почта Банк Вы можете по ссылке: https://www.pochtabank.ru/map,0.0,0.0,0
11,8/23/21 8:01,CLIENT,Спасибо,0.8387778837333282,0.16122211626667182,pos
12,8/23/21 8:01,AGENT,"Спасибо за обращение, всего доброго! Если появятся вопросы, просто напишите нам.  ",0.0,0.0,0
13,8/24/21 8:48,CLIENT,Ну вот совсем другое дело,0.8368342294736899,0.1631657705263101,pos
14,8/24/21 8:48,BOT,"Чтобы я мог точно определить, что Вам нужно, опишите Ваш вопрос в двух-трех словах или выберите тему из списка:<button>Платежи и переводы</button><button>Все о кредитах</button><button>Все о картах и вкладах</button><button>Досрочное погашение</button><button>Почта Банк Онлайн</button><button>Справки, выписки, документы по договору</button><button>СМС-информирование</button><button>У меня другой вопрос</button>",0.0,0.0,0
15,8/24/21 8:49,CLIENT,Как только я заинтересовался распечаткой движения средств на счёте так и деньги появились да? Может в прокуратуру обратиться?,0.22917004319666964,0.7708299568033303,neg
16,8/24/21 8:49,BOT,По Вашей карте <b>'****</b>:<br> Доступный остаток <br><b>167 201.86</b> руб. <br><br>У Вас остались дополнительные вопросы? <button>Да</button><button>Нет</button>,0.0,0.0,0
17,8/24/21 8:50,CLIENT,Ага и разговаривать не хотим? Значит прокуратура,0.3029462938050736,0.6970537061949265,neg
18,8/24/21 8:50,BOT,Я Вас понял. Перевожу на оператора!,0.0,0.0,0
19,8/24/21 8:50,SYSTEM,Оператор присоединился к беседе.,0.0,0.0,0
20,8/24/21 8:55,AGENT,"Здравствуйте, Павел Валентинович! Уточните, пожалуйста, какой у Вас вопрос?",0.0,0.0,0
21,8/24/21 8:56,CLIENT,Читайте выше со вчерашнего дня,0.47172520121719824,0.5282747987828018,neg
22,8/24/21 8:57,AGENT,Вы вчера обратились по вопросу выписки. Сейчас какой у Вас вопрос.,0.0,0.0,0
23,8/24/21 8:57,AGENT,?,0.0,0.0,0
24,8/24/21 8:58,CLIENT,"Всё тот же, сколько раз вы меня успели обмануть пока я не заметил отсутствие средств на счёте хотя по истории они уже там должны быть",0.5906338553497407,0.40936614465025933,pos
25,8/24/21 8:59,CLIENT,И потому я хочу объяснений от вас или....,0.14214071847121187,0.8578592815287881,neg
26,8/24/21 8:59,SYSTEM,Оператор присоединился к беседе.,0.0,0.0,0
27,8/24/21 9:00,CLIENT,"Оператор, Вы так и будете прыгать туда сюда? Присоеденился, отсоединился",0.37129040315430434,0.6287095968456957,neg
28,8/24/21 9:01,CLIENT,"И представьтесь пожалуйста, а то как то не интересно беседовать с Вами",0.11064236114437502,0.889357638855625,neg
29,8/24/21 9:01,AGENT,"Мне необходимо ознакомиться с историей переписки, ожидайте, пожалуйста.",0.0,0.0,0
30,8/24/21 9:01,AGENT,"Меня зовут Ксения, буду рада Вам помочь.",0.0,0.0,0
31,8/24/21 9:01,CLIENT,"Вы её уже наизусть знаете, я уверен",0.3770762701489493,0.6229237298510507,neg
32,8/24/21 9:02,AGENT,"Насколько я понимаю, Вас интересует выписка по счету в бумажном варианте?",0.0,0.0,0
33,8/24/21 9:03,AGENT,"Для получения Вам необходимо обратиться в офис Банка с паспортом, справка выдается сразу при обращении, где будут отражены все операции по счету.",0.0,0.0,0
34,8/24/21 9:04,CLIENT,Меня интересует почему деньги появились на счёте именно после того как я заинтересовался выпиской Будете переливать из пустого в порожнее?,0.15841841545511817,0.8415815845448819,neg
35,8/24/21 9:05,SYSTEM,Оператор присоединился к беседе.,0.0,0.0,0
36,8/24/21 9:06,CLIENT,Удачного дня До встречи,0.9224658508076529,0.07753414919234713,pos
37,8/24/21 9:10,AGENT,"Операции которые Вы совершаете, могут быть обработаны позже. Информация корректная отображается наследующий день после 19:00 по мск. ",0.0,0.0,0
